name,vcs,repo,version
gmp-bug-13420-13421,mercurial,https://gmplib.org/repo/gmp/,13420
gzip-bug-2009-08-16-3fe0caeada-39a362ae9d,git,https://git.savannah.gnu.org/git/gzip.git,3fe0caeada
gzip-bug-2009-09-26-a1d3d4019d-f17cbd13a1,git,https://git.savannah.gnu.org/git/gzip.git,a1d3d4019d
gzip-bug-2009-10-09-1a085b1446-118a107f2d,git,https://git.savannah.gnu.org/git/gzip.git,1a085b1446
libtiff-bug-2006-02-23-b2ce5d8-207c78a,git,https://github.com/vadz/libtiff.git,b2ce5d8
libtiff-bug-2006-03-03-a72cf60-0a36d7f,git,https://github.com/vadz/libtiff.git,a72cf60
libtiff-bug-2006-03-03-eec4c06-ee65c74,git,https://github.com/vadz/libtiff.git,eec4c06
libtiff-bug-2007-07-13-09e8220-f2d989d,git,https://github.com/vadz/libtiff.git,09e8220
libtiff-bug-2007-07-19-ce4b7af-7d6e298,git,https://github.com/vadz/libtiff.git,ce4b7af
libtiff-bug-2007-08-24-827b6bc-22da1d6,git,https://github.com/vadz/libtiff.git,827b6bc
libtiff-bug-2007-11-02-371336d-865f7b2,git,https://github.com/vadz/libtiff.git,371336d
libtiff-bug-2008-12-30-362dee5-565eaa2,git,https://github.com/vadz/libtiff.git,362dee5
libtiff-bug-2009-08-28-e8a47d4-023b6df,git,https://github.com/vadz/libtiff.git,e8a47d4
lighttpd-bug-1913-1914,svn,svn://svn.lighttpd.net/lighttpd/trunk,1913
lighttpd-bug-2661-2662,svn,svn://svn.lighttpd.net/lighttpd/trunk,2661
lighttpd-bug-2785-2786,svn,svn://svn.lighttpd.net/lighttpd/trunk,2785
php-bug-2011-01-18-95388b7cda-b9b1fb1827,git,https://github.com/php/php-src.git,95388b7cda
php-bug-2011-01-23-bc049ccb62-a6c0a4e474,git,https://github.com/php/php-src.git,bc049ccb62
php-bug-2011-01-29-147382033a-5bb0a44e06,git,https://github.com/php/php-src.git,147382033a
php-bug-2011-02-05-c50b3d7add-426f31e790,git,https://github.com/php/php-src.git,c50b3d7add
php-bug-2011-02-11-f912a2d087-b84967d3e2,git,https://github.com/php/php-src.git,f912a2d087
php-bug-2011-02-21-b21f62eb2d-2a6968e43a,git,https://github.com/php/php-src.git,b21f62eb2d
php-bug-2011-04-12-465ffa7fa2-c4a8866abb,git,https://github.com/php/php-src.git,465ffa7fa2
php-bug-2011-11-01-735efbdd04-e0f781f496,git,https://github.com/php/php-src.git,735efbdd04
php-bug-2011-11-11-fcbfbea8d2-c1e510aea8,git,https://github.com/php/php-src.git,fcbfbea8d2
php-bug-2011-11-19-eeba0b5681-f330c8ab4e,git,https://github.com/php/php-src.git,eeba0b5681
php-bug-2012-01-16-36df53421e-f32760bd40,git,https://github.com/php/php-src.git,36df53421e
php-bug-2012-02-12-3d898cfa3f-af92365239,git,https://github.com/php/php-src.git,3d898cfa3f
php-bug-2012-02-18-0a91432828-032bbc3164,git,https://github.com/php/php-src.git,0a91432828
php-bug-2012-03-19-53e3467ff2-9a460497da,git,https://github.com/php/php-src.git,53e3467ff2
python-bug-69609-69616,mercurial,https://hg.python.org/cpython/,69609
python-bug-69709-69710,mercurial,https://hg.python.org/cpython/,69709
python-bug-69740-69743,mercurial,https://hg.python.org/cpython/,69740
python-bug-69785-69789,mercurial,https://hg.python.org/cpython/,69785
python-bug-69831-69833,mercurial,https://hg.python.org/cpython/,69831
python-bug-70019-70023,mercurial,https://hg.python.org/cpython/,70019
valgrind-bug-11613-11614,svn,svn://svn.valgrind.org/valgrind/trunk,11613
valgrind-bug-11620-11619,svn,svn://svn.valgrind.org/valgrind/trunk,11620
valgrind-bug-11621-11622,svn,svn://svn.valgrind.org/valgrind/trunk,11621
valgrind-bug-11817-11818,svn,svn://svn.valgrind.org/valgrind/trunk,11817
valgrind-bug-12474-12473,svn,svn://svn.valgrind.org/valgrind/trunk,12474
valgrind-bug-12641-12642,svn,svn://svn.valgrind.org/valgrind/trunk,12641
wireshark-bug-37112-37111,dontknow,dontcare,37112
wireshark-bug-37122-37123,dontknow,dontcare,37122
wireshark-bug-37172-37171,dontknow,dontcare,37172